district,industry_code,industry_name,classification_level,core_office,core_plus_full_row,broad_office,district_industry_employment,official_city_industry_employment,district_share_of_city_industry_percentage,reference_date,employment_universe,source_table,source_url
闵行区,K,房地产业,section,False,False,True,58157,601432,9.669754851753815,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
宝山区,K,房地产业,section,False,False,True,34930,601432,5.807805371180782,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
嘉定区,K,房地产业,section,False,False,True,34975,601432,5.8152875138003965,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
浦东新区,K,房地产业,section,False,False,True,103410,601432,17.193963739874167,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
金山区,K,房地产业,section,False,False,True,12883,601432,2.1420542970776415,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
松江区,K,房地产业,section,False,False,True,31439,601432,5.227357373734687,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
青浦区,K,房地产业,section,False,False,True,19097,601432,3.1752550579284113,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
奉贤区,K,房地产业,section,False,False,True,16302,601432,2.7105308663323533,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
崇明区,K,房地产业,section,False,False,True,4735,601432,0.7872876734194391,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
黄浦区,P,教育,section,False,False,True,15527,478200,3.246967795901297,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
