accounting_control,district,control_name,control_type,control_employment,control_area_m2,jrc_nres_volume_m3,poi_business_finance,poi_industry_logistics,poi_education_research,poi_retail_hospitality,poi_health_public,poi_other_economic,area_cell_equivalents,centroid_x,centroid_y,log1p_jrc_nres_volume_total,log1p_poi_business_finance_total,log1p_poi_industry_logistics_total,log1p_poi_education_research_total,log1p_poi_retail_hospitality_total,log1p_poi_health_public_total,log1p_poi_other_economic_total,spatial_holdout_fold,geographic_holdout_prediction,full_fit_prediction
310106020000,静安区,彭浦新村街道,street,17000,3271963.878436302,293124.7771781389,0.5750947594642639,0.8883205056190491,0.4605121314525604,5.134893704891205,1.4704743814468384,0.0,327.1963878436302,351571.0400357464,3465452.453258821,12.588357069533158,0.45431543520698625,0.6356878126479475,0.3787871491805963,1.813992751996674,0.9044101894651767,0.0,2,23824.615198032334,19212.783882956675
310106021000,静安区,临汾路街道,street,5000,2141239.1869623032,59951.69798375568,0.0,0.0,0.5480350852012634,1.567230749130249,0.8159399032592773,0.8,214.12391869623033,353166.3156526264,3465503.088628038,11.001311163342193,0.0,0.0,0.43698643976938867,0.9428277884335236,0.5966031867126187,0.5877866649021191,3,8011.138547321542,10414.55111495492
310106022000,静安区,芷江西路街道,street,28000,1582832.5748884073,216851.08908264874,0.0,0.9431902766227722,0.0,8.62922716164589,0.0,2.674602427482605,158.28325748884072,353250.3195400533,3459023.7907202635,12.286970782985374,0.0,0.664331094896874,0.0,2.264802969385616,0.0,1.3014449438146667,3,14408.747953468774,17683.79097855881
310106100000,静安区,彭浦镇,town,112000,7766902.009073119,4344246.497523774,2.8826305055618286,0.0,3.4911204171180725,35.70746289920807,1.3496372890472412,2.7154645323753357,776.6902009073119,350569.3035772,3462787.485605962,15.284363113541007,1.3565128892714802,0.0,1.502102206731682,3.602980083140233,0.8542609711573587,1.312503712714714,2,89278.2711811756,73685.53885909746
310107005000,普陀区,曹杨新村街道,street,22000,2075670.1136722323,790243.0681540675,1.2734203338623047,0.0,0.0,13.617025475502015,1.5678034454584122,1.1467681527137756,207.56701136722322,347927.8452994692,3457418.298687714,13.580097123759362,0.8212854524823889,0.0,0.0,2.6821869777736684,0.9430508429678599,0.7639635264395742,1,35354.46160323606,28997.335424865672
310107014000,普陀区,长风新村街道,street,90000,5799941.436359161,2389811.637956489,8.102024226695299,3.96107249379158,4.793418307304382,104.73301702266932,1.5701740384101868,13.656582567691803,579.9941436359161,347099.2227208698,3456089.511900262,14.686725526674246,2.20849683128013,1.6016219459498167,1.7567224986054784,4.660917209499231,0.9439736158400388,2.6848895565749062,0,81218.30538323992,84530.3116160835
310107015000,普陀区,长寿路街道,street,96000,4039962.563011894,1886704.2241821617,8.95252482175827,0.5784042477607727,5.744005835056305,95.1048797864616,1.335352599620819,5.119048733711242,403.9962563011894,350380.7064701243,3457647.9819272747,14.450342598148096,2.297826269911659,0.4564143669040796,1.908654085921052,4.565440092902078,0.8481628859821555,1.8114066487747615,1,93059.89848297148,81201.2699147995
310107016000,普陀区,甘泉路街道,street,21000,2352023.1838450935,5545.678766985421,0.77,0.7629346251487732,1.6199322533607483,2.119977004528046,0.9292694330215454,0.5297518372535706,235.20231838450934,350228.38772432867,3460256.739887662,8.620954607252562,0.5709795465857378,0.5669798211336239,0.9631484599427971,1.137825631450655,0.6571413991422402,0.42510552437536314,3,5070.892916812148,7581.640675164231
310107017000,普陀区,石泉路街道,street,20000,3498580.3200513585,4710377.7760980865,3.7855779504776,0.7337732911109924,1.8010530471801758,27.658642603993414,0.0,0.0,349.85803200513584,349088.93675668014,3458825.8634257317,15.365278882312856,1.5656068014100133,0.5503001265067734,1.0299954347563225,3.355455059240496,0.0,0.0,1,76387.78583372597,60086.37235864622
310107020000,普陀区,宜川路街道,street,17000,2221386.7731257523,166282.0470580375,1.8647484183311462,0.0,0.835573673248291,10.267100137710571,0.6253591775894165,2.293958842754364,222.13867731257523,351158.7647422086,3459230.373531921,12.02144671806058,1.052480534210173,0.0,0.6073570611216182,2.4218869868420607,0.4857288237203649,1.1920901370673005,3,17263.256558335623,21814.381695365235
