district,accounting_stratum_id,official_control_name_2023,control_type,employment_published,employment_reconciled,rounding_lower,rounding_upper,publication_unit,row_is_official_fine_control,fine_table_status,source_url,source_table,boundary_support,osm_match_name,geometry_is_approximate
崇明区,outer-崇明区-06,向化镇,town,5672.0,5672,5672,5672,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,osm_relation,向化镇,True
崇明区,outer-崇明区-07,三星镇,town,2400.0,2400,2400,2400,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,osm_relation,三星镇,True
崇明区,outer-崇明区-08,港沿镇,town,4303.0,4303,4303,4303,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,osm_relation,港沿镇,True
崇明区,outer-崇明区-09,中兴镇,town,3407.0,3407,3407,3407,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,osm_relation,中兴镇,True
崇明区,outer-崇明区-10,陈家镇,town,12059.0,12059,12059,12059,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,osm_relation,陈家镇,True
崇明区,outer-崇明区-11,绿华镇,town,1186.0,1186,1186,1186,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,osm_relation,绿华镇,True
崇明区,outer-崇明区-12,港西镇,town,3135.0,3135,3135,3135,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,osm_relation,港西镇,True
崇明区,outer-崇明区-13,建设镇,town,4314.0,4314,4314,4314,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,osm_relation,建设镇,True
崇明区,outer-崇明区-14,新海镇,town,2033.0,2033,2033,2033,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,osm_relation,新海镇,True
崇明区,outer-崇明区-15,东平镇,town,2640.0,2640,2640,2640,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,osm_relation,东平镇,True
崇明区,outer-崇明区-16,长兴镇,town,32990.0,32990,32990,32990,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,osm_relation,长兴镇,True
崇明区,outer-崇明区-17,新村乡,township,2968.0,2968,2968,2968,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,osm_relation,新村乡,True
崇明区,outer-崇明区-18,横沙乡,township,3003.0,3003,3003,3003,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,osm_relation,横沙乡,True
崇明区,outer-崇明区-19,前卫农场,functional_zone,791.0,791,791,791,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,district_overlay,,True
崇明区,outer-崇明区-20,东平林场,functional_zone,633.0,633,633,633,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,district_overlay,,True
崇明区,outer-崇明区-21,上实现代农业园区,functional_zone,428.0,428,428,428,people,True,official exact count,https://www.shcm.gov.cn/shcm/ecef415d-3c63-47da-bfd3-311441208d44/87e9346e-af5c-4ac3-acbd-902d9d8f0cf7/上海市崇明区第五次全国经济普查主要数据公报（第一号）.pdf,geographic employment table,district_overlay,,True
